kode,species,cluster
2016-11-01_133018,P.glauca,5
2016-11-03_133018,P.glauca,5
2016-11-04_133018,P.glauca,4
2016-11-05_133018,P.glauca,4
2016-11-06_133018,P.glauca,4
2016-11-07_133018,P.glauca,4
2016-11-08_133018,P.glauca,4
2016-11-09_133018,P.glauca,4
2016-11-11_133018,P.glauca,4
2016-11-12_133018,P.glauca,4
2016-11-13_133018,P.glauca,4
2016-11-14_133018,P.glauca,4
2016-11-16_133018,P.glauca,4
2016-11-17_133018,P.glauca,4
2016-11-18_133018,P.glauca,4
2016-11-21_133018,P.glauca,4
2016-11-24_133018,P.glauca,4
2016-11-29_133018,P.glauca,4
2016-11-02_133021,P.glauca,2
2016-11-04_133021,P.glauca,4
2016-11-05_133021,P.glauca,3
2016-11-10_133021,P.glauca,2
2016-11-11_133021,P.glauca,2
2016-11-13_133021,P.glauca,3
2016-11-16_133021,P.glauca,3
2016-11-18_133021,P.glauca,2
2016-11-21_133021,P.glauca,2
2016-11-22_133021,P.glauca,2
2016-11-23_133021,P.glauca,2
2016-11-26_133021,P.glauca,2
2016-11-28_133021,P.glauca,2
2016-11-30_133021,P.glauca,2
2016-11-01_141255,P.glauca,5
2016-11-03_141255,P.glauca,5
2016-11-04_141255,P.glauca,5
2016-11-05_141255,P.glauca,5
2016-11-06_141255,P.glauca,5
2016-11-07_141255,P.glauca,5
2016-11-09_141255,P.glauca,5
2016-11-10_141255,P.glauca,5
2016-11-15_141255,P.glauca,5
2016-11-16_141255,P.glauca,5
2016-11-20_141255,P.glauca,5
2016-11-22_141255,P.glauca,1
2016-11-27_141255,P.glauca,5
2016-11-28_141255,P.glauca,5
2016-11-01_163097,P.glauca,2
2016-11-03_163097,P.glauca,1
2016-11-10_163097,P.glauca,2
2016-11-11_163097,P.glauca,1
2016-11-14_163097,P.glauca,2
2016-11-19_163097,P.glauca,2
2016-11-26_163097,P.glauca,2
2016-11-27_163097,P.glauca,2
2016-11-30_163097,P.glauca,2
2016-12-01_106754,P.glauca,2
2016-12-02_106754,P.glauca,2
2016-12-04_106754,P.glauca,2
2016-12-05_106754,P.glauca,2
2016-12-06_106754,P.glauca,2
2016-12-07_106754,P.glauca,3
2016-12-09_106754,P.glauca,2
2016-12-10_106754,P.glauca,2
2016-12-11_106754,P.glauca,2
2016-12-13_106754,P.glauca,2
2016-12-15_106754,P.glauca,2
2016-12-16_106754,P.glauca,4
2016-12-17_106754,P.glauca,2
2016-12-18_106754,P.glauca,5
2016-12-20_106754,P.glauca,5
2016-12-21_106754,P.glauca,5
2016-12-22_106754,P.glauca,5
2016-12-23_106754,P.glauca,1
2016-12-25_106754,P.glauca,5
2016-12-26_106754,P.glauca,5
2016-12-28_106754,P.glauca,5
2016-12-31_106754,P.glauca,5
2016-12-02_133016,P.glauca,5
2016-12-06_133016,P.glauca,2
2016-12-07_133016,P.glauca,2
2016-12-10_133016,P.glauca,2
2016-12-14_133016,P.glauca,4
2016-12-19_133016,P.glauca,2
2016-12-03_133017,P.glauca,2
2016-12-06_133017,P.glauca,2
2016-12-09_133017,P.glauca,2
2016-12-10_133017,P.glauca,2
2016-12-15_133017,P.glauca,4
2016-12-02_133018,P.glauca,4
2016-12-03_133018,P.glauca,4
2016-12-06_133018,P.glauca,4
2016-12-07_133018,P.glauca,4
2016-12-09_133018,P.glauca,2
2016-12-10_133018,P.glauca,4
2016-12-13_133018,P.glauca,2
2016-12-14_133018,P.glauca,4
2016-12-15_133018,P.glauca,4
2016-12-16_133018,P.glauca,4
2016-12-17_133018,P.glauca,4
2016-12-18_133018,P.glauca,2
2016-12-19_133018,P.glauca,4
2016-12-20_133018,P.glauca,4
2016-12-21_133018,P.glauca,2
2016-12-24_133018,P.glauca,4
2016-12-25_133018,P.glauca,4
2016-12-27_133018,P.glauca,2
2016-12-28_133018,P.glauca,3
2016-12-29_133018,P.glauca,3
2016-12-03_133021,P.glauca,2
2016-12-04_133021,P.glauca,2
2016-12-05_133021,P.glauca,2
2016-12-06_133021,P.glauca,2
2016-12-07_133021,P.glauca,1
2016-12-09_133021,P.glauca,2
2016-12-10_133021,P.glauca,3
2016-12-11_133021,P.glauca,2
2016-12-12_133021,P.glauca,2
2016-12-16_133021,P.glauca,3
2016-12-17_133021,P.glauca,2
2016-12-18_133021,P.glauca,2
2016-12-19_133021,P.glauca,2
2016-12-20_133021,P.glauca,2
2016-12-21_133021,P.glauca,2
2016-12-22_133021,P.glauca,2
2016-12-23_133021,P.glauca,2
2016-12-24_133021,P.glauca,2
2016-12-01_141255,P.glauca,2
2016-12-02_141255,P.glauca,5
2016-12-03_141255,P.glauca,5
2016-12-04_141255,P.glauca,5
2016-12-05_141255,P.glauca,5
2016-12-07_141255,P.glauca,1
2016-12-09_141255,P.glauca,1
2016-12-10_141255,P.glauca,5
2016-12-11_141255,P.glauca,1
2016-12-12_141255,P.glauca,1
2016-12-15_141255,P.glauca,5
2016-12-16_141255,P.glauca,4
2016-12-19_141255,P.glauca,1
2016-12-28_141258,P.glauca,5
2016-12-31_141258,P.glauca,2
2016-12-02_163097,P.glauca,4
2016-12-04_163097,P.glauca,5
2016-12-06_163097,P.glauca,5
2016-12-07_163097,P.glauca,5
2016-12-08_163097,P.glauca,5
2016-12-09_163097,P.glauca,5
2016-12-11_163097,P.glauca,5
2016-12-12_163097,P.glauca,5
2016-12-13_163097,P.glauca,5
2016-12-14_163097,P.glauca,4
2016-12-18_163097,P.glauca,5
2016-12-19_163097,P.glauca,5
2016-12-20_163097,P.glauca,4
2016-12-23_163097,P.glauca,5
2016-12-24_163097,P.glauca,5
2016-12-28_163097,P.glauca,5
2016-12-29_163097,P.glauca,5
2016-12-30_163097,P.glauca,5
2016-12-31_163097,P.glauca,5
2017-01-01_106754,P.glauca,5
2017-01-03_106754,P.glauca,5
2017-01-05_106754,P.glauca,5
2017-01-06_106754,P.glauca,5
2017-01-07_106754,P.glauca,5
2017-01-08_106754,P.glauca,4
2017-01-11_106754,P.glauca,4
