ptt,Date,species,kode,bathy,latitude,longitude,distance,cluster
141254,2016/01/05 00:00:00,P.glauca,2016/01/05 00:00:00,-5187.18883338341,39.35,-58.55,463528.705199278,2
141254,2016/01/06 00:00:00,P.glauca,2016/01/06 00:00:00,-5185.40192522321,39.625,-58.475,436197.009673543,5
141254,2016/01/07 00:00:00,P.glauca,2016/01/07 00:00:00,-5160.30343191964,40.025,-58.525,392732.872431431,5
141254,2016/01/08 00:00:00,P.glauca,2016/01/08 00:00:00,-5135.39501953125,40.4,-58.375,358557.75397843,5
141254,2016/01/09 00:00:00,P.glauca,2016/01/09 00:00:00,-5078.99351045005,40.875,-58.125,316268.134960785,5
141254,2016/01/10 00:00:00,P.glauca,2016/01/10 00:00:00,-5049.21140485491,41.125,-57.85,297445.571223241,2
141254,2016/01/11 00:00:00,P.glauca,2016/01/11 00:00:00,-5003.69181019176,41.425,-57.375,284117.903222819,2
141254,2016/01/12 00:00:00,P.glauca,2016/01/12 00:00:00,-5005.39479631696,41.375,-57.625,279294.208317429,2
141254,2016/01/13 00:00:00,P.glauca,2016/01/13 00:00:00,-5166.68938301282,40.475,-57.275,382532.971279025,2
141254,2016/01/15 00:00:00,P.glauca,2016/01/15 00:00:00,-5237.05917019314,38.825,-57.375,552756.974145474,2
141254,2016/01/17 00:00:00,P.glauca,2016/01/17 00:00:00,-5284.811328125,37.875,-56.6,673394.933153983,2
141254,2016/01/18 00:00:00,P.glauca,2016/01/18 00:00:00,-5284.63356711648,37.875,-56.4,679093.066139541,3
141254,2016/01/19 00:00:00,P.glauca,2016/01/19 00:00:00,-5283.75518217541,37.8,-56.4,686944.045825676,1
141254,2016/01/20 00:00:00,P.glauca,2016/01/20 00:00:00,-5295.30181430785,37.425,-56.375,727049.720478968,2
141254,2016/01/21 00:00:00,P.glauca,2016/01/21 00:00:00,-5323.84215198864,37.2,-56.025,752272.293776675,1
141254,2016/01/23 00:00:00,P.glauca,2016/01/23 00:00:00,-5337.51705911276,37.2,-55.45,728177.896424391,2
141254,2016/01/26 00:00:00,P.glauca,2016/01/26 00:00:00,-5362.52955729167,37.625,-55.375,683200.264089526,2
141254,2016/01/28 00:00:00,P.glauca,2016/01/28 00:00:00,-5307.85221771501,38.65,-55.95,613717.146937578,2
141254,2016/01/30 00:00:00,P.glauca,2016/01/30 00:00:00,-5236.83140136719,39.825,-56.325,482611.240749339,2
141254,2016/01/31 00:00:00,P.glauca,2016/01/31 00:00:00,-5221.69699707031,40.125,-55.35,455231.399483446,3
141256,2016/01/04 00:00:00,P.glauca,2016/01/04 00:00:00,-5304.625,28.4209044978664,-68.4791069362017,750662.202375828,4
141256,2016/01/05 00:00:00,P.glauca,2016/01/05 00:00:00,-5241.2099609375,28.6384597766323,-68.7169702240324,746771.295184764,1
141256,2016/01/06 00:00:00,P.glauca,2016/01/06 00:00:00,-5262.35009765625,28.6833862214222,-68.8721898292121,738161.810025548,5
141256,2016/01/09 00:00:00,P.glauca,2016/01/09 00:00:00,-5324.30447048611,28.9853287046104,-69.1525531944547,739843.912051396,5
141256,2016/01/10 00:00:00,P.glauca,2016/01/10 00:00:00,-5364.25244140625,28.9906688492548,-69.584998718716,710204.138107124,5
